Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell,Repository
auto-lifting,com.ngd.autolifting,Middleware,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.ngd.autolifting.model.CryptoUtility,auto-lifting
auto-lifting,com.ngd.autolifting.model,AutoLifting,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.ngd.autolifting.model.TransactionInfo; com.ngd.autolifting.model.CryptoUtility; com.ngd.autolifting.model.BeneficiaryInfo,auto-lifting
bankintegration,com.nagad.bank,Bank,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.nagad.bank.model.PrepareTxnRequestData; com.nagad.bank.model.CryptoUtility,bankintegration
bankintegration,com.nagad.bank,BengalCommercialBank,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.nagad.bank.model.PrepareTxnRequestDataBGCB; com.nagad.bank.model.CryptoUtility,bankintegration
bankintegration,com.nagad.bank,HomePay,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.nagad.bank.model.TransactionInfo; com.nagad.bank.model.CryptoUtility; com.nagad.bank.model.BeneficiaryInfo,bankintegration
bankintegration,com.nagad.bank,MidlandBank,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.nagad.bank.model.PrepareTxnRequestData; com.nagad.bank.model.CryptoUtility,bankintegration
bankintegration,com.nagad.bank.model,PostmantDataPrepare,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.nagad.bank.model.TransactionInfo; com.nagad.bank.model.CryptoUtility; com.nagad.bank.model.BeneficiaryInfo,bankintegration
bankintegration,com.nagad.bank.model,PrepareTxnRequestData,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.nagad.bank.model.TransactionInfo; com.nagad.bank.model.BeneficiaryInfo,bankintegration
bankintegration,com.nagad.bank.model,PrepareTxnRequestDataBGCB,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.nagad.bank.model.TransactionInfo; com.nagad.bank.model.BeneficiaryInfo,bankintegration
billpayKSL,com.ngd.billpay,BillPay,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.ngd.billpay.model.CryptoUtility; com.ngd.billpay.model.RefundRequest,billpayKSL
mfi,com.ngd.mfi.service,MicroFinanceService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.ngd.mfi.model.m2c.BatchCreateRequest; com.ngd.mfi.model.BeneficiaryInfo; com.ngd.mfi.model.m2c.BatchItemRequest; com.ngd.mfi.model.TransactionInfo,mfi
mfi,com.ngd.mfi.service,MicroFinanceService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10,mfi
mfi,com.ngd.mfi.service,MicroFinanceService,Law of Demeter violation,The tool detected the smell in this method (batchStatus) because the method voilates the law of Demeter. The long chain of method invocations is : com.ngd.mfi.model.m2c.BathStatusResponse.getSummary; com.ngd.mfi.model.m2c.SummaryModel.getBatchStatus,mfi
mfi,com.ngd.mfi.service,MicroFinanceServiceLive,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.ngd.mfi.model.m2c.BatchCreateRequest; com.ngd.mfi.model.BeneficiaryInfo; com.ngd.mfi.model.m2c.BatchItemRequest; com.ngd.mfi.model.TransactionInfo,mfi
mfi,com.ngd.mfi.service,MicroFinanceServiceLive,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10,mfi
mfi,com.ngd.mfi.service,RefundService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.ngd.mfi.model.BeneficiaryInfo; com.ngd.mfi.model.TransactionInfo,mfi
onlinepay,com.nagad.onlinepay.model,BIMANLIVE,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.nagad.onlinepay.model.CryptoUtility,onlinepay
onlinepay,com.nagad.onlinepay.model,BTCLBOSSLIVE,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.nagad.onlinepay.model.CryptoUtility,onlinepay
onlinepay,com.nagad.onlinepay.model,CNSBDLIVE,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.nagad.onlinepay.model.CryptoUtility,onlinepay
onlinepay,com.nagad.onlinepay.model,Payment,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.nagad.onlinepay.model.CryptoUtility,onlinepay
onlinepay,com.nagad.onlinepay.model,PaymentGateway,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.nagad.onlinepay.model.CryptoUtility,onlinepay
onlinepay,com.nagad.onlinepay.model,PaymentGatewayLIVE,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.nagad.onlinepay.model.CryptoUtility,onlinepay
onlinepay,com.nagad.onlinepay.model,PaymentGatewayPaytm,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.nagad.onlinepay.model.CryptoUtility,onlinepay
